topic_label,topic_probability,Confidence_Level
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.4375,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5175,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.3941,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.4375,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.6458,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.5526,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.4822,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.3929,Rendah (<0.50)
Keluhan Fisik & Kesehatan,0.8542,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.4035,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.4712,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.8971,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6458,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.8971,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.8971,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Kehilangan & Trauma Keluarga,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Dampak Pendidikan & Tempat Tidur,0.2895,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.8971,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.4375,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.75,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.3928,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.6458,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.6849,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.75,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.5517,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Dampak Pendidikan & Tempat Tidur,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
